Date,Tuition
Fri 03/01/2024,"299,884"
Mon 03/04/2024,"1,921,549"
Tue 03/05/2024,"1,713,149"
Wed 03/06/2024,"1,035,851"
Thu 03/07/2024,"799,406"
Fri 03/08/2024,"1,382,221"
Mon 03/11/2024,"1,631,638"
Tue 03/12/2024,"1,191,884"
Wed 03/13/2024,"672,915"
Thu 03/14/2024,"1,146,973"
Fri 03/15/2024,"1,710,542"
Mon 03/18/2024,"2,416,820"
Tue 03/19/2024,"2,275,716"
Wed 03/20/2024,"1,173,822"
Thu 03/21/2024,"7,075,404"
Fri 03/22/2024,"1,476,571"
Mon 03/25/2024,"1,673,240"
Tue 03/26/2024,"1,997,902"
Wed 03/27/2024,"690,680"
Thu 03/28/2024,"2,039,481"
Fri 03/29/2024,"1,954,448"
Mon 04/01/2024,"2,076,682"
Tue 04/02/2024,"1,544,137"
Wed 04/03/2024,"1,510,291"
Thu 04/04/2024,"1,844,300"
Fri 04/05/2024,"1,065,424"
Mon 04/08/2024,"3,984,607"
Tue 04/09/2024,"8,773,186"
Wed 04/10/2024,"2,235,313"
Thu 04/11/2024,"1,634,679"
Fri 04/12/2024,"1,433,957"
Mon 04/15/2024,"2,104,705"
Tue 04/16/2024,"1,583,706"
Wed 04/17/2024,"1,642,357"
Thu 04/18/2024,"1,113,678"
Fri 04/19/2024,"6,698,746"
Mon 04/22/2024,"3,589,353"
Tue 04/23/2024,"-682,149"
Wed 04/24/2024,"1,438,717"
Thu 04/25/2024,"1,175,199"
Fri 04/26/2024,"1,195,086"
Mon 04/29/2024,"4,330,654"
Tue 04/30/2024,"1,914,495"
Wed 05/01/2024,"1,227,612"
Thu 05/02/2024,"1,387,969"
Fri 05/03/2024,"-106,129"
Mon 05/06/2024,"1,923,232"
Tue 05/07/2024,"1,254,485"
Wed 05/08/2024,"1,549,181"
Thu 05/09/2024,"1,468,755"
Fri 05/10/2024,"610,312"
Mon 05/13/2024,"2,323,142"
Tue 05/14/2024,"2,005,806"
Wed 05/15/2024,"1,147,619"
Thu 05/16/2024,"1,402,077"
Fri 05/17/2024,"2,078,468"
Mon 05/20/2024,"2,318,371"
Tue 05/21/2024,"4,657,479"
Wed 05/22/2024,"342,054"
Thu 05/23/2024,"1,159,849"
Fri 05/24/2024,"1,474,427"
Mon 05/27/2024,0
Tue 05/28/2024,"3,082,187"
Wed 05/29/2024,"3,503,223"
Thu 05/30/2024,"1,112,820"
Fri 05/31/2024,"973,253"
Mon 06/03/2024,"2,664,327"
Tue 06/04/2024,"2,847,995"
Wed 06/05/2024,"2,522,049"
Thu 06/06/2024,"2,471,522"
Fri 06/07/2024,"2,097,461"
Mon 06/10/2024,"2,869,801"
Tue 06/11/2024,"4,090,173"
Wed 06/12/2024,"3,288,027"
Thu 06/13/2024,"2,475,841"
Fri 06/14/2024,"2,349,642"
Mon 06/17/2024,"1,787,178"
Tue 06/18/2024,"826,427"
Wed 06/19/2024,0
Thu 06/20/2024,"1,741,344"
Fri 06/21/2024,"2,498,760"
Mon 06/24/2024,"1,423,158"
Tue 06/25/2024,"3,137,920"
Wed 06/26/2024,"1,424,901"
Thu 06/27/2024,"970,225"
Fri 06/28/2024,"1,026,625"
